algorithm,n,kind,seconds_mean,memory_kb,arch
bubble_sort,1000,random,0.034220,0.3,x86_64
merge_sort,1000,random,0.001415,9.1,x86_64
quick_sort,1000,random,0.001056,1.4,x86_64
bubble_sort,5000,random,0.998269,0.3,x86_64
merge_sort,5000,random,0.009014,40.5,x86_64
quick_sort,5000,random,0.006376,1.6,x86_64
bubble_sort,1000,sorted,0.000044,0.2,x86_64
merge_sort,1000,sorted,0.001246,9.1,x86_64
quick_sort,1000,sorted,0.001020,1.2,x86_64
bubble_sort,5000,sorted,0.000251,0.2,x86_64
merge_sort,5000,sorted,0.007946,40.5,x86_64
quick_sort,5000,sorted,0.006370,1.6,x86_64
bubble_sort,1000,reverse,0.045877,0.3,x86_64
merge_sort,1000,reverse,0.001270,9.2,x86_64
quick_sort,1000,reverse,0.001038,1.1,x86_64
bubble_sort,5000,reverse,1.318766,0.3,x86_64
merge_sort,5000,reverse,0.007853,40.6,x86_64
quick_sort,5000,reverse,0.006065,1.7,x86_64
